<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2105,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:009.240,     0.09247,    -0.10438,    20.69214
   00:009.260,     0.08746,     0.00000,    20.69214
   00:009.280,     0.08394,     0.00000,    20.68640
   00:009.300,     0.08275,     0.00000,    20.69214
   00:009.320,     0.08156,     0.00000,    20.70937
   00:009.340,     0.08123,     0.00000,    20.70937
   00:009.360,     0.08194,     0.00000,    20.69789
   00:009.380,     0.08117,     0.00000,    20.70937
   00:009.400,     0.07816,     0.00000,    20.69214
   00:009.420,     0.07573,     0.09534,    20.70937
   00:009.440,     0.07543,     0.11224,    20.70937
   00:009.460,     0.07438,     0.14797,    20.71511
   00:009.480,     0.07338,     0.18327,    20.70937
   00:009.500,     0.07386,     0.20003,    20.70937
   00:009.520,     0.07349,     0.19428,    20.70937
   00:009.540,     0.07274,     0.17515,    20.70937
   00:009.560,     0.07246,     0.15860,    20.71511
   00:009.580,     0.07155,     0.14956,    20.70937
   00:009.600,     0.07163,     0.14482,    20.70937
   00:009.620,     0.07293,     0.14395,    20.70937
   00:009.640,     0.07243,     0.15042,    20.72085
   00:009.660,     0.07186,     0.15596,    20.70937
   00:009.680,     0.07230,     0.14783,    20.71511
   00:009.700,     0.07227,     0.13598,    20.70937
   00:009.720,     0.07032,     0.13469,    20.70937
   00:009.740,     0.07082,     0.13842,    20.70937
   00:009.760,     0.07143,     0.14023,    20.71511
   00:009.780,     0.07035,     0.14338,    20.72659
   00:009.800,     0.07041,     0.14768,    20.70937
   00:009.820,     0.07190,     0.14936,    20.70937
   00:009.840,     0.07244,     0.15078,    20.71511
   00:009.860,     0.07235,     0.15449,    20.70937
   00:009.880,     0.07314,     0.15785,    20.71511
   00:009.900,     0.07210,     0.15719,    20.70937
   00:009.920,     0.07028,     0.15743,    20.72085
   00:009.940,     0.06886,     0.15801,    20.70937
   00:009.960,     0.07073,     0.15460,    20.70937
   00:009.980,     0.08130,     0.14604,    20.72085
   00:010.000,     0.09992,     0.13553,    20.71511
   00:010.020,     0.12229,     0.12814,    20.68640
   00:010.040,     0.14267,     0.13094,    20.67492
   00:010.060,     0.16065,     0.13717,    20.65196
   00:010.080,     0.17925,     0.14541,    20.64048
   00:010.100,     0.19924,     0.15802,    20.61752
   00:010.120,     0.22250,     0.16922,    20.58881
   00:010.140,     0.24547,     0.17385,    20.57159
   00:010.160,     0.26418,     0.17710,    20.54863
   00:010.180,     0.28378,     0.17978,    20.52566
   00:010.200,     0.30688,     0.17492,    20.50270
   00:010.220,     0.33217,     0.16815,    20.50270
   00:010.240,     0.35710,     0.16475,    20.46252
   00:010.260,     0.37821,     0.15372,    20.43381
   00:010.280,     0.39711,     0.14628,    20.41085
   00:010.300,     0.41504,     0.15814,    20.38789
   00:010.320,     0.43044,     0.17821,    20.38789
   00:010.340,     0.44674,     0.18803,    20.35344
   00:010.360,     0.47453,     0.18302,    20.35344
   00:010.380,     0.52209,     0.17074,    20.34196
   00:010.400,     0.58587,     0.16165,    20.29603
   00:010.420,     0.64479,     0.15545,    20.20418
   00:010.440,     0.69759,     0.15109,    20.13529
   00:010.460,     0.77564,     0.15176,    20.08363
   00:010.480,     0.88462,     0.16016,    19.99752
   00:010.500,     0.99794,     0.16607,    19.86548
   00:010.520,     1.11574,     0.15970,    19.75066
