<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2075,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:009.680,     0.14047,    -0.54993,    21.63632
   00:009.700,     0.14039,    -0.57763,    21.63010
   00:009.720,     0.14043,    -0.58388,    21.63632
   00:009.740,     0.14161,    -0.59094,    21.63010
   00:009.760,     0.14234,    -0.61834,    21.65499
   00:009.780,     0.14217,    -0.63319,    21.63010
   00:009.800,     0.14159,    -0.61773,    21.63010
   00:009.820,     0.14128,    -0.60594,    21.64876
   00:009.840,     0.14135,    -0.63821,    21.64254
   00:009.860,     0.14132,    -0.70676,    21.65499
   00:009.880,     0.14149,    -0.76461,    21.64254
   00:009.900,     0.14097,    -0.78374,    21.63010
   00:009.920,     0.14103,    -0.77643,    21.64254
   00:009.940,     0.14177,    -0.78960,    21.63632
   00:009.960,     0.14250,    -0.85748,    21.63010
   00:009.980,     0.14253,    -0.94657,    21.61765
   00:010.000,     0.14029,    -1.01650,    21.64254
   00:010.020,     0.14057,    -1.07314,    21.64254
   00:010.040,     0.14302,    -1.10833,    21.64254
   00:010.060,     0.14183,    -1.11428,    21.64254
   00:010.080,     0.14034,    -1.11562,    21.63010
   00:010.100,     0.14129,    -1.12467,    21.63010
   00:010.120,     0.14231,    -1.12467,    21.63010
   00:010.140,     0.14183,    -1.10311,    21.64254
   00:010.160,     0.14104,    -1.08660,    21.65499
   00:010.180,     0.14094,    -1.10032,    21.65499
   00:010.200,     0.14226,    -1.11628,    21.63010
   00:010.220,     0.14185,    -1.11780,    21.63632
   00:010.240,     0.14160,    -1.11535,    21.65499
   00:010.260,     0.14179,    -1.09094,    21.63632
   00:010.280,     0.14059,    -1.03133,    21.63010
   00:010.300,     0.14096,    -0.97670,    21.63632
   00:010.320,     0.14167,    -0.95332,    21.64254
   00:010.340,     0.14135,    -0.92390,    21.61765
   00:010.360,     0.14044,    -0.87143,    21.63632
   00:010.380,     0.13991,    -0.81830,    21.64254
   00:010.400,     0.14033,    -0.78053,    21.63010
   00:010.420,     0.14127,    -0.75947,    21.64254
   00:010.440,     0.14201,    -0.73682,    21.64254
   00:010.460,     0.14230,    -0.71786,    21.63010
   00:010.480,     0.14183,    -0.73714,    21.61765
   00:010.500,     0.14135,    -0.78782,    21.63010
   00:010.520,     0.14097,    -0.81856,    21.64254
   00:010.540,     0.14062,    -0.81269,    21.63010
